LINK;TITULO;DESCR;MATERIA
https://br.linkedin.com/jobs/view/estagi%C3%A1rio-at-inbc-agro-3035666780?refId=knHS8lucym0U1ZJE61oZjQ%3D%3D&trackingId=t%2FRFcx%2FJf60%2BA78TK5t2rw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagiario;   Descricao da vaga de estagio:Empresa catarinense procura estudante de agronomia em estagio avancado que busque experiencia de capacitacao no setor de nutricao vegetal podendo expandir seus horizontes.A INBC Agroindustria de Fertilizantes busca a democratizacao da agricultura oferecendo produtos que proporcionam o aumento da produtividade aliado a mais rentabilidade. Queremos que o pequeno e medio agricultor tenha acesso a uma linha completa de produtos com alta tecnologia e precos acessiveis   direcionados a todos os estagiosfenologicos ou manejos dos cultivos.Vaga: PresencialAreias - Sao JoseFuncoes:Prospeccao de novos clientes  Auxiliar na implantacao do sistema e atendimento especializado aos clientes  Pos-vendaRequisitos:Formacao: Estar cursando pelo menos a 3a fase do curso de agronomia  Conhecimento intermediario do pacote Office  Perfil comercial   boa comunicacao e comprometimentoTrabalho em equipeRemuneracao: A combinarContato:*Via LinkedIn  *E-mail: contato@inbcgroup.com.br*WhatsApp (48) 988460720          Exibir mais                   Exibir menos;1
https://br.linkedin.com/jobs/view/est%C3%A1gio-em-documenta%C3%A7%C3%A3o-at-ocamposemfronteirasvagas-3045177426?refId=R%2F2OgSpTUhOO7%2FIcQv7a0g%3D%3D&trackingId=BwSaPz%2BoNpzjPM%2BsDxF6lA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagio em documentacao;           Nos da Aliare   unimos o agronegocio em um ambiente de produtividade. Vamos juntos?Somos a plataforma de cooperacao do agronegocio   conectando pessoas   ferramentas e empresas para transformar tempo em produtividade. Existimos para que todos os agentes da cadeia produtiva tenham informacoes certas   no tempo certo.A partir da integracao   digitalizacao e inteligencia de dados   promovemos uma grande evolucao no campo   um setor cada vez mais conectado   com desafios mais complexos   impactando em todo o mundo.Buscamos um estagiario para nos auxiliar na criacao   elaboracao e manutencao de documentos focados para clientes e equipe interna sobre as funcionalidades e processos dos produtos da empresa  Voce Ira ParticiparCriacao de templates para documentacoes  Elaboracao de documentos das funcionalidades e processos de nossos produtos focados para usuarios de nossos produtos  Elaboracao de documentos das funcionalidades e processos de nossos produtos focados para colaboradores de diversas areas de nossa empresa e manter os documentos elaborados sempre atualizados.RequisitosEstar cursando uma formacao na area tecnologica  Ser proativo  Respirar inovacao  Ser adaptavel           Exibir mais                   Exibir menos;2
https://br.linkedin.com/jobs/view/est%C3%A1gio-jur%C3%ADdico-at-gruporehagrovagas-3045158613?refId=R%2F2OgSpTUhOO7%2FIcQv7a0g%3D%3D&trackingId=LMwQUHc4RxDP6xj7qwI8QQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagio - juridico;           Oportunidade para Estagio? Temos! Estamos buscando por um novo talento   e ele pode ser VOCE!Antes de passarmos os detalhes   gostariamos de nos apresentar: somos o Grupo Rehagro e oferecemos solucoes completas em cursos   consultorias   analises laboratoriais   pesquisas e agentes biologicos.O nosso proposito e transformar vidas por meio do agronegocio e   para isso   contamos com um time top das galaxias! Serio mesmo   a equipe e incrivel demais e temos um orgulho danado de cada um deles.Agora   vamos divulgar alguns spoilers importantes sobre o que voce vai encontrar se topar trabalhar no time Rehagro:Precisamos De Uma PessoaQue goste de trabalhar em equipe e se engaje com os objetivos do timeAtenta aos detalhes e que valorize um trabalho padronizado bem feitoProativa   com tendencia a perceber oportunidades de melhorias e aponta-lasCapaz de absorver novas informacoes rapidamente e coloca-las em pratica de forma eficazNo seu dia a dia   voce iraDar suporte na elaboracao de documentos e na realizacao dos procedimentos necessarios junto aos orgaos competentesApoiar a realizacao de pesquisas jurisprudenciais e de posicionamentoAuxiliar na analise de documentacoes e processos do setor (contratos sociais   matriculas   contratos agrarios   etc)Prestar auxilio no desenvolvimento de projetos de consultoria para as areas demandantesRequisitos FundamentaisGraduacao em andamento no curso de Direito   a partir do 9 periodoInteresse em atuar no AgronegocioTer disponibilidade para atuar 20h semanaisBeneficiosBolsa de estagioSeguro de vidaE ai   bora fechar com a gente? O nosso processo seletivo e bem rapido e simples.Desejamos boa sorte na sua jornada! Esperamos que voce tambem faca parte do #TIMEREHAGRO!                Exibir mais                   Exibir menos;2
https://br.linkedin.com/jobs/view/est%C3%A1gio-comercial-agroneg%C3%B3cio-home-office-at-gruporehagrovagas-3045159936?refId=R%2F2OgSpTUhOO7%2FIcQv7a0g%3D%3D&trackingId=b7Vc0QuojnTVLAmvMhAJQA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagio comercial (agronegocio) - home office;           Oportunidade para Estagio? Temos! Estamos buscando por um novo talento   e ele pode ser VOCE!Antes de passarmos os detalhes   gostariamos de nos apresentar: somos o Grupo Rehagro e oferecemos solucoes completas em cursos   consultorias   analises laboratoriais   pesquisas e agentes biologicos.O nosso proposito e transformar vidas por meio do agronegocio e   para isso   contamos com um time top das galaxias! Serio mesmo   a equipe e incrivel demais e temos um orgulho danado de cada um deles.Agora   vamos divulgar alguns spoilers importantes sobre o que voce vai encontrar se topar trabalhar em nosso setor Comercial:Precisamos De Uma PessoaAtenta aos detalhes e que valorize um trabalho padronizado bem feitoProativa   com tendencia a perceber oportunidades de melhorias e aponta-lasQue goste de trabalhar em equipe e se engaje com os objetivos do timeCapaz de absorver novas informacoes rapidamente e coloca-las em pratica de forma eficazNo Seu Dia a Dia   Voce IraFazer contatos com clientes e parceiros do setor comercialDar apoio na organizacao dos processos da areaAuxiliar na analise de dados do setorApoiar na prospeccao de novas empresas parceirasRequisitos FundamentaisGraduacao em andamento na area das Ciencias Agrarias Ter interesse em atuar na area comercialVontade de se desenvolver e crescer junto com a empresaDisponibilidade para estagiar 6 horas diarias (manha ou tarde)BeneficiosBolsa auxilioSeguro de VidaE ai   bora fechar com a gente? O nosso processo seletivo e bem rapido e simples.Desejamos boa sorte na sua jornada! Esperamos que voce tambem faca parte do #TIMEREHAGRO!                Exibir mais                   Exibir menos;2
https://br.linkedin.com/jobs/view/est%C3%A1gio-em-tecnologia-1-at-superiaglobalvagas-3045155674?refId=XPTneEqJr6EJml1X91jftQ%3D%3D&trackingId=8L6qkMGKvJlUgP4rb4Jukw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagio em tecnologia (1);           Aqui na SUPERIA atuamos com o proposito de conectar pessoas a oportunidades   gerando prosperidade. Se o que voce busca e crescimento profissional   liberdade para executar ideias criativas e oportunidade de trabalhar em uma empresa que acredita e prioriza o sucesso das pessoas   confira essa oportunidade disponivel em e venha ser um SUPERIANO! ??Principais AtividadesAuxiliar na descricao e detalhamento de atividades  Encaminhar demandas para a area de desenvolvimento  Dar suporte a equipe de tecnologia  Contribuir com um cenario de transformacao cultural.Perfil Que BuscamosCursando Engenharia da Computacao   Ciencia da Informacao e/ou Analise e Desenvolvimento de Sistemas ou areas relacionadas ao TI.Alem Disso   Voce Vai EncontrarTecnologia para entregar com excelencia  Ambiente colaborativo  Frutas durante a semana  Dia Pet  E muito mais!          Exibir mais                   Exibir menos;5
https://br.linkedin.com/jobs/view/vaga-de-est%C3%A1gio-em-tecnologia-at-positivotecnologiavagas-3045170806?refId=XPTneEqJr6EJml1X91jftQ%3D%3D&trackingId=1p96oNQTwRZuNXBKVf0ZDQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card;Vaga de estagio em tecnologia;           Cursando ensino superior em Sistemas de Informacao   Analise e Desenvolvimento de Sistemas   Gestao da Tecnologia da Informacao   Ciencia da Computacao ou areas afins  Desejavel possuir conhecimento em Excel Intermediario/Avancado  Desejavel possuir conhecimento de Power BI   banco de dados SQL Server   SAP  Desejavel possuir conhecimento em ingles basico.Fazer Report s diarios atraves de relatorios via SAP para acompanhamento da performance da area  Manipular queries via SQL para consultas no banco de dados  Consolidar bases de dados e desenvolvimento de Dashboards e filtros avancados na feramenta do Microsoft Power BI  Auxiliar na construcao de indicadores de performance da area de Planejamento e Controle de Materiais para tomadas de decisao.                Exibir mais                   Exibir menos;5
https://br.linkedin.com/jobs/view/est%C3%A1gio-em-an%C3%A1lise-de-dados-at-audacesautomacaoeinformaticaindustrialltdavagas-3045155054?refId=XPTneEqJr6EJml1X91jftQ%3D%3D&trackingId=xfQLWw4Qqq0zNqcGX%2BQTyw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagio em analise de dados;           Nosso nome ja diz tudo: somos Audaciosos! Esta no nosso DNA   junto com a Colaboracao e foco em Resultados!Na familia Audaces temos um ambiente descontraido   com pessoas parceiras   amigas. Desafios sao vencidos em conjunto e gostamos disso! Temos espaco para o desenvolvimento individual   pois assim crescemos todos!A Audaces e referencia mundial em inovacao tecnologica para a moda. Ha mais de 25 anos desenvolvemos solucoes faceis de aprender   usar e manter   que aceleram a criacao   o desenvolvimento e a producao de moda. Nossos produtos tambem atendem as necessidades de outras industrias   como estofados   calcados   moveis e de outros materiais flexiveis.O time de TI da Audaces esta em busca de estudantes que sejam feras em Excel e apaixonados por analise de dados para alavancar os resultados da area e   consequentemente   trazer maior satisfacao aos nossos clientes!Confere aqui o que voce vai fazer neste estagio!Auxiliar no desenvolvimento de KPIS   metricas e indicadores internos (para a Audaces) e externos (para nossos clientes)  Auxiliar na extracao   transformacao e analise de dados a partir de diversas fontes  Auxiliar na traducao de dados em conhecimento em torno do nosso negocio e do negocio de nosso cliente   criando paineis para avaliar e assegurar que nossos produtos estejam efetivamente gerando valor para os usuarios finais.Para Isso   Buscamos Alguem QueEsteja com a graduacao em andamento em Sistemas de Informacao ou Ciencia da Informacao  Tenha Excel intermediario  Conhecimento em estatistica e banco de dados  Entendimento sobre Power BI e banco de dados  Disponibilidade para atuar em Florianopolis/SC (formato hibrido).E Um Plus Se VoceTenha conhecimento da Elastic Stack (Kibana) e Python.          Exibir mais                   Exibir menos;5
https://br.linkedin.com/jobs/view/est%C3%A1gio-de-desenvolvimento-de-sistemas-at-compugrafvagas-3045174598?refId=xQs1NtDmpW90CwaNmUlVsw%3D%3D&trackingId=qnr0mF%2FDquLtdBeBgYVTsA%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card;Estagio de desenvolvimento de sistemas;           Conhece a Compugraf?Somos uma empresa de tecnologia especializada em Seguranca da Informacao e Privacidade de Dados.Se voce e apaixonado pelo que faz   busca sempre inovar na sua area e quer se desenvolver temos algumas oportunidades para compor nosso time! Vem crescer com a gente!BeneficiosBolsa auxilio competitiva com o mercado  Ticket Refeicao - Sem desconto.Assistencia Medica e Odontologica  Seguro de Vida  PLR: Participacao Lucros e Resultados  Parceria com Faculdades e Escolas de Idiomas  Dress Code flexivel  Atuacao Home Office   com possibilidade de alguns dias presenciais.Descricao Das AtividadesAtuar como desenvolver de softwareConhecimentos ImprescindiveisEstar cursando ensino superior em tecnologia   tecnico ou equivalente com formacao prevista para a partir de 2023.Preferencia para curso de Analise e Desenvolvimento de Sistemas.Curso de Logica de Programacao/Raciocinio logicoVivencia com alguma linguagem de programacao ( desejavel ja ter criado alguma coisa)C#   Python   Node   AngularConhecimento em HTML/CssProatividade em resolver problemasConhecimentos DesejaveisBanco de dados (Relacional ou Nao Relacional)Controle de versionamento(GIT   Bitbucket).NET/CORE (C#) Javascript(ES6)   HTML e CSSExperiencia em Windows/Linux -Experiencia em integracao com API s (REST   SOAP   WCF)Estar cursando ensino superior em tecnologia   tecnico ou equivalente          Exibir mais                   Exibir menos;5
https://br.linkedin.com/jobs/view/administracao-de-empresa-enfase-em-gestao-de-tecnologia-at-est%C3%A1gio-sul-rh-3036505868?refId=xQs1NtDmpW90CwaNmUlVsw%3D%3D&trackingId=ozCWY6AlUFDgqri4xZ3%2Bxg%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card;Administracao De Empresa Enfase Em Gestao De Tecnologia;           Cursando Analise e Desenvolvimento de Sistemas e areas afins. Desejavel conhecimento em Javascript   HTML e CSS3.O estagiario auxiliara a prover solucoes tecnicas para novas features e suporte a features ja existentes   desenvolver interfaces responsivas mobile-first comprometendo-se com a usabilidade e fidelidade ao layout   integracao de interface com APIs Rest (monolito / microsservicos). Auxiliara ativamente com UX Designer para garantir aderencia do design a tecnologia adotada e aplicar boas praticas de codificacao.                Exibir mais                   Exibir menos;5
https://br.linkedin.com/jobs/view/vaga-de-est%C3%A1gio-em-desenvolvimento-python-at-positivotecnologiavagas-3045179510?refId=xQs1NtDmpW90CwaNmUlVsw%3D%3D&trackingId=bVOcyl6xrQno%2FF8E%2B%2FimkQ%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card;Vaga de estagio em desenvolvimento python;           Estar cursando ensino superior em Analise e Desenvolvimento de Sistemas   Engenharia da Computacao   Ciencias da Computacao   Engenharia de Software   Sistemas de Informacao ou afins  Conhecimento em Ingles no nivel basico  Conhecimento em Excel   Word   PowerPoint   Outlook no nivel basico  Conhecimento em linguagem Python e PHP  Conhecimento em bancos de dados relacionais Postgres   Oracle e SQL Server  Desejavel conhecimento com Docker e GIT.Auxiliar no desenvolvimento e sustentacao de aplicacao WEB (Python   PHP   C#)  Auxiliar no desenvolvimento e consumo de APIs REST e SOAP  Auxiliar na criacao de documentacao de todas as solucoes desenvolvidas  Aprender metodologia de desenvolvimento com qualidade no codigo e documentacao.                Exibir mais                   Exibir menos;5
