LINK;TITULO;DESCR;MATERIA
https://br.linkedin.com/jobs/view/estagi%C3%A1rio-de-laborat%C3%B3rio-at-geo-biogas-tech-3100732602?refId=467OyLlPBQBZ0Eu8Du9vrQ%3D%3D&trackingId=EXdbabJn%2Fgvh%2BRFTFj%2FzxA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagiario de laboratorio;   A EMPRESAA Geo Biogas & Tech nasceu da ideia e do inconformismo de um pequeno time de empreendedores idealistas nos anos 2000 aqui no Brasil. Encantados pelo avanco da tecnologia da biodigestao e em como o biogas permite integrar toda a cadeia de producao no pais e ainda ajudar na descarbonizacao do meio ambiente   eles aliaram o conceito alemao de geracao de biogas eficiente com o potencial da agroindustria brasileira   tropicalizando a tecnologia e trazendo para o Brasil a primeira planta de biogas do segmento sucroenergetico. Hoje a Geo conta com plantas em funcionamento e mais de 30 MW equivalentes em producao de biogas e e lider em um mercado em franca expansao.A GEO esta com uma vaga aberta para estagio no Laboratorio de Fisico-Quimica no Centro de Pesquisas!Requisitos:- Estar cursando Quimica   Farmacia   Biomedicina   ou areas correlatas (a partir do 4o periodo)  - Interesse em rotinas laboratoriais e energias renovaveis  - Disponibilidade para o periodo vespertino  - Experiencia em laboratorio sera considerado diferencial.          Exibir mais                   Exibir menos;1
https://br.linkedin.com/jobs/view/est%C3%A1gio-sert%C3%A3ozinho-sp-%E2%80%93-jornalismo-%E2%80%93-vgavsa165-at-alpha-est%C3%A1gio-3078383369?refId=467OyLlPBQBZ0Eu8Du9vrQ%3D%3D&trackingId=pHPlAj39czhcGG9j7SvZxA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card;ESTAGIO SERTAOZINHO SP  JORNALISMO  VGAVSA165;           Nosso cliente e uma empresa de comunicacao e eventos   alem de um portal de noticias especializados em conteudos voltados a agroindustria.Bolsa-Auxilio: R$ 800  00Horario do Estagio: De segunda a sexta-feira   das 08:00 as 15:00 (1h de intervalo)Beneficios: Auxilio - Transporte: R$ 100  00RequisitosCursar Jornalismo no periodo noturno   Ter boa comunicacao e redacao   ser proativo e possuir bom relacionamento interpessoal. AtividadesPublicacao de noticias em portal   Redacao de textos jornalisticos   Entrevistas jornalisticas. Cidade: Sertaozinho - SPRegiao: Parque Res. Francisco Paschoal                Exibir mais                   Exibir menos;1
https://br.linkedin.com/jobs/view/estagi%C3%A1rio-de-jornalismo-at-embrapa-agroind%C3%BAstria-tropical-3070518103?refId=467OyLlPBQBZ0Eu8Du9vrQ%3D%3D&trackingId=yJvs%2FzDeGTJrRVP%2BLRmj3A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagiario de jornalismo;   Horario do estagio: 8h as 12hAtividades: criacao de conteudo para redes sociais (texto e imagem)   redacao de textos jornalisticos e apoio as atividades de capacitacao.Semestre: 3 ao 6 do curso de Jornalismo.A inscricao devera ser feita no site Super Estagios [https://www.superestagios.com.br/index/]. O codigo da vaga e 141760. Vaga exclusivamente para estudantes que moram em Fortaleza e Regiao Metropolitana.          Exibir mais                   Exibir menos;1
https://br.linkedin.com/jobs/view/est%C3%A1gio-na-%C3%A1rea-comercial-foco-no-agroneg%C3%B3cio-at-rehagro-3089841714?refId=qRlr4g%2F2GPdPFcXKPd9HOA%3D%3D&trackingId=ybSmD72ozQGjoxsWchZshA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagio na area Comercial - Foco no Agronegocio;           Oportunidade para Estagio? Temos! Estamos buscando por um novo talento   e ele pode ser VOCE!Antes de passarmos os detalhes   gostariamos de nos apresentar: somos o Grupo Rehagro e oferecemos solucoes completas em cursos   consultorias   analises laboratoriais   pesquisas e agentes biologicos.O nosso proposito e transformar vidas por meio do agronegocio e   para isso   contamos com um time top das galaxias! Serio mesmo   a equipe e incrivel demais e temos um orgulho danado de cada um deles.Agora   vamos divulgar alguns spoilers importantes sobre o que voce vai encontrar se topar trabalhar na equipe da Faculdade Rehagro:Precisamos de uma pessoa:Que goste de trabalhar em equipe e se engaje com os objetivos do timeProativa   com tendencia a perceber oportunidades de melhorias e aponta-lasCapaz de absorver novas informacoes rapidamente e coloca-las em pratica de forma eficazNo seu dia a dia   voce ira:Participar da criacao e execucao de estrategias de prospeccao de clientes para os cursos da Faculdade RehagroAuxiliar nas abordagens e negociacoes com potenciais clientes   por telefone ou presencialDar suporte as decisoes estrategicas da equipe de Marketing e ComercialRequisitos Fundamentais:Graduacao em andamento   a partir do 5 periodo   em cursos das Ciencias Agrarias Interesse em atuar na area comercial Disponibilidade para atuar 6 horas diarias (segunda a sexta   manha ou tarde)Beneficios:Bolsa de estagioSeguro de vidaE ai   bora fechar com a gente? O nosso processo seletivo e bem rapido e simples.Desejamos boa sorte na sua jornada! Esperamos que voce tambem faca parte do #TIMEREHAGRO!          Exibir mais                   Exibir menos;2
https://br.linkedin.com/jobs/view/est%C3%A1gio-t-i-analise-de-sistemas-agro-100-s%C3%A3o-paulo-sp-at-agrogalaxy-3096671314?refId=qRlr4g%2F2GPdPFcXKPd9HOA%3D%3D&trackingId=6HSyiA%2BE7TJQVjKmBdtMRQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagio T.I (Analise de Sistemas) - Agro 100 - Sao Paulo / SP;           O AgroGalaxy e uma das principais plataformas de varejo de insumos agricolas e servicos voltados para o agronegocio brasileiro   atuando na comercializacao de insumosagricolas   producao de sementes   originacao   armazenamento e comercializacao de graos   alem de prestacao de servicos agricolas.Somos agentes de prosperidade   obstinados em fazer com que os elos do agronegocio prosperem sempre.Estamos contratando ESTAGIARIO EM T.I para atuar na nossa filial de Sao Paulo/SP.Para mais informacoes   acesse nosso site: https://agrogalaxy.com.br/Responsabilidades e atribuicoesParticipar das reunioes de necessidade do negocio   compreendendo a dinamica do processo  Capacidade com acompanhamento de gerar a documentacao necessaria pertinente aos rituais da area  Acompanhar e apontar os incidentes abertos referente a area de Sistemas   apos treinamento em nossas ferramentas  Capacidade de pesquisa de novas tecnologias e rapido aprendizado ter automotivacaoRequisitos e qualificacoesEstar no penultimo ano do curso: Engenharia   Computacao e ou areas correlatas  Habilidade de comunicacao e raciocinio Logico  Habilidade em relacionamento interpessoal   comunicacao oral e escrita   proativo   focado (sem desviar da necessidade) capaz de identificar problemas  Ser Organizado  Capacidade de aprendizado (ser autodidata) rapido   trabalhar de maneira proativa e trabalhar em equipe  Conhecimento do Pacote Office (Word   Excel e Power Point)Informacoes adicionaisPode ser de qualquer unidade da empresa   mas de preferencia SP.                Exibir mais                   Exibir menos;2
https://br.linkedin.com/jobs/view/est%C3%A1gio-na-%C3%A1rea-de-biodiesel-at-adm-do-brasil-ltda-3094680261?refId=qRlr4g%2F2GPdPFcXKPd9HOA%3D%3D&trackingId=8snPFUygjUjBCo5D4iB77g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagio na area de Biodiesel;   SobreSomos uma multinacional americana do segmento do agronegocio e ingredientes para alimentos. Atuamos numa ampla rede de originacao de graos   processamento elogistica mundiais   conectando culturas mercados em mais de 60 paises.MissaoTornar-se a mais admirada empresa do ramoAtividadesMercado de Biodieselrea comercial   vendas   estoques   producao e comercializacao.Suporte nas atividades de gestao da carteira de Biodiesel e subprodutos   com controle de contratos   controle de estoque e demais atividades inerentes ao departamento  Gerar relatorios de performance   custos e eficiencia  Buscar dados do mercado para auxiliar na tomada de decisoes do negocio  Realizar interface com clientes internos e externos para acompanhamento das operacoes  Controlar e atualizar relatorios de gestao comercial como Power BI e Excel.          Exibir mais                   Exibir menos;2
https://br.linkedin.com/jobs/view/est%C3%A1gio-na-%C3%A1rea-tributaria-i-uberl%C3%A2ndia-mg-at-adm-do-brasil-ltda-3094675625?refId=qRlr4g%2F2GPdPFcXKPd9HOA%3D%3D&trackingId=VNRG4OaEFT6ba7aWhROXLQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagio na area Tributaria I Uberlandia - MG;   SobreSomos uma multinacional americana do segmento do agronegocio e ingredientes para alimentos. Atuamos numa ampla rede de originacao de graos   processamento elogistica mundiais   conectando culturas mercados em mais de 60 paises.MissaoTornar-se a mais admirada empresa do ramoAtividadesGeracao relatorios   conferencias   participar de agenda de analise de legislacao e fazer resumo das analises   fazer apresentacao em Power Point do report dos projetos   garantir o arquivamento dos procedimentos e comunicado do departamento   rede e Sharepoint.                Exibir mais                   Exibir menos;2
https://br.linkedin.com/jobs/view/est%C3%A1gio-m-a-finance-at-magna-executive-search-3109638972?refId=qRlr4g%2F2GPdPFcXKPd9HOA%3D%3D&trackingId=TfldS4P3rpmg85l7DMxJOA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagio M&a (finance);           DescricaoDescricaoM&A na BungeNossa area de M&A e responsavel pela avaliacao de potenciais aquisicoes e desinvestimentos na America do Sul que estejam em linha com o direcionamento estrategico da companhia. As atividades envolvem desde a prospeccao destas oportunidades   analises economico-financeiras   elaboracao de apresentacoes e relatorios visando a aprovacao dos projetos   envolvimento nas negociacoes como tambem na elaboracao dos documentos para efetivacao dos acordos.Responsabilidades Auxilio na elaboracao de avaliacoes economico-financeiras por metodos de Valuation (fluxo de caixa descontado   multiplos de transacoes   entre outros) Preparacao de apresentacoes sobre aquisicoes/fusoes para comite executivo e conselho de administracao   sob orientacao da gerencia da area Auxilio na preparacao de documentos executivos detalhados sobre as transacoes a serem levadas a aprovacaoPre-requisitos Cursando ensino superior em Administracao de Empresas   Economia ou Engenharia. Periodo de conclusao do curso entre Jun/23 e Dez/23 Ingles avancado Conhecimento do Pacote Office: Excel   PowerPoint e WordCaracteristicas do nosso timeNosso time e formado por pessoas engajadas   com alta energia e comprometidas em trazer os melhores talentos para a empresa.Aqui promovemos um ambiente aberto onde todas as opinioes sao bem vindas e favorecendo a troca de experiencias.Por que voce deve se juntar a nos?Somos uma empresa global e lider no Agronegocio   nossa missao e alimentar e energizar o Mundo. Na Bunge voce ira encontrar um ambiente desafiador e muitas oportunidades de aprendizado!Veja Tambem Nossos Beneficios Vale Refeicao Plano de saude e odontologico Vale TransporteLocalidade: Sao Paulo  SP (Faria Lima)IdiomasIngles - Nivel AvancadoOutros RequisitosDisponibilidade Imediata.                Exibir mais                   Exibir menos;2
https://br.linkedin.com/jobs/view/est%C3%A1gio-na-%C3%A1rea-de-container-business-at-adm-do-brasil-ltda-3094678357?refId=qRlr4g%2F2GPdPFcXKPd9HOA%3D%3D&trackingId=Kwq84yLAyWAxiAvv1mPYLg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagio na area de Container Business;   SobreSomos uma multinacional americana do segmento do agronegocio e ingredientes para alimentos. Atuamos numa ampla rede de originacao de graos   processamento elogistica mundiais   conectando culturas mercados em mais de 60 paises.MissaoTornar-se a mais admirada empresa do ramoAtividadesAuxiliar nas tarefas de recebimento de contas a pagardos Fornecedores que a area negocia. Apos validar acobranca recebida   solicitar o pagamento  Atualizacao de controles operacionais da area(Planilha Excel) e envio de e-mail semanal com osdados de embarque para os clientes finais  Acompanhamento da operacao da Ferrovia paraauxiliar a Analista responsavel  Ter proatividade de auxiliar a area quando tiver tempodisponivel em demais atividades.                Exibir mais                   Exibir menos;2
https://br.linkedin.com/jobs/view/est%C3%A1gio-em-dcm-estrutura%C3%A7%C3%A3o-at-octante-capital-3101158996?refId=qRlr4g%2F2GPdPFcXKPd9HOA%3D%3D&trackingId=S%2B32W%2Fe2J6MsCunX4j6tXA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagio em DCM - Estruturacao;   Octante Securitizadora S.A. Somos especializados em desenvolver solucoes inovadoras de credito estruturado por meio de captacao de recursos no mercado de capitais Atuando   primordialmente   com solucoes de financiamento alternativo para o setor agricola desde 2008   idealizamos e realizamos a primeira oferta publica de Certificado de Recebiveis do Agronegocio (CRA) no Brasil   nos termos da Instrucao CVM no 400   de 29 de dezembro de 2003   em parceria com a Syngenta e a com a Bunge. Em conjunto com o socio fundador   William Trosman   que possui mais de 35 anos de expertise no mercado financeiro nacional e internacional   a Octante conta com um time de especialistas em desenvolver estruturas customizadas visando proporcionar fontes alternativas de financiamento aos seus clientes. Alem de emissoes de CRA   a Octante oferece como fonte alternativa de financiamento   operacoes estruturadas de securitizacao de recebiveis consubstanciadas em titulos de divida e valores mobiliarios dos mais diversos setores   representados por CRI   CDCA   CPR   CR   cotas de FIDC   FIAGRO e FII   debentures   NC   entre outros   bem como outros tipos de operacoes de securitizacao que demandem solucoes customizadas aos seus clientes pautadas na utilizacao de ferramentas e instrumentos de alta tecnologia. Atuamos de forma independente e somos uma companhia aberta   registrada na CVM   habilitada a emitir titulos estruturados   seguindo os mais altos padroes eticos e de qualidade. Estagio em DCM - Estruturacao Buscamos profissionais para atuacao na area estrategica de captacao de recursos e operacoes estruturadas de mercado de capitais. Principais atividades: Como estagiario de DCM (Debt Capital Markets) Estruturacao voce ajudara a desenvolver as analises preliminares das Demonstracoes Financeiras visando avaliar a capacidade e possivel estrutura de operacoes   Elaborar apresentacao das estruturas para os potenciais clientes   Acompanhar noticias sobre o mercado de capitais   credito (voltado principalmente para o setor do agronegocio) e novas tecnologias   Auxiliar na elaboracao de material de divulgacao e publicitario de nossas emissoes (pilot fishing e roadshow)   Monitoramento e leitura de mercado para auxiliar na assertividade de fluxos e precificacao das estrategias de funding   e Apoio no desenvolvimento de iniciativas e pesquisa de mercado de peers   Requisitos: Comprometimento   organizacao e visao analitica   Graduacao: Cursando Administracao   Ciencias Economicas   Ciencias Contabeis   Engenharia e areas correlatas. Conhecimento do Pacote MS Office (Excel   Power Point   Word)   Remuneracao e beneficios: Bolsa auxilio (+13o)   Assistencia medica   Vale refeicao/alimentacao   Vale transporte    Seguro de Vida   e Gympass          Exibir mais                   Exibir menos;2
https://br.linkedin.com/jobs/view/est%C3%A1gio-em-engenharia-i-campo-grande-ms-at-adm-do-brasil-ltda-3092880534?refId=qRlr4g%2F2GPdPFcXKPd9HOA%3D%3D&trackingId=t0DIECktdnf1gW2NNho0wQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card;Estagio em Engenharia I Campo Grande - MS;   SobreSomos uma multinacional americana do segmento do agronegocio e ingredientes para alimentos. Atuamos numa ampla rede de originacao de graos   processamento elogistica mundiais   conectando culturas mercados em mais de 60 paises.MissaoTornar-se a mais admirada empresa do ramoAtividadesRealizar acompanhamento das atividades realizadas em ordens de servico pela equipe de engenharia.          Exibir mais                   Exibir menos;2
