LINK;TITULO;DESCR;MATERIA
https://br.linkedin.com/jobs/view/bolsista-engenheiro-de-produ%C3%A7%C3%A3o-e-processos-seleme-mestre-at-instituto-euvaldo-lodi-3008348311?refId=i4W%2FTnOmX1EVF14SVgoqpA%3D%3D&trackingId=zAgq51VNscT5y5wNsfVmTw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card;Bolsista - Engenheiro de Producao e Processos - SELEME - Mestre;"   DESCRICAOIra atuar na Empresa Madeireira Seleme   atraves do Programa Inova Talentos   desenvolvendo o Projeto: ""Desenvolvimento de melhorias nos processos produtivos com base nos conceitos de manufatura enxuta""Contratacao: Inova Talentos via FAPESCRequisitos: pacote office   autocad   conhecimento tecnico em manufatura enxuta com no minimo 2 anos de experiencia de chao de fabricaAtividades/Responsabilidades1-Diagnostico da situacao atualIdentificacao dos processosEstudo de tempos e metodosIdentificacao de processos criticos e desperdiciosMapeamento do fluxo de valor2 - Proposicao de melhoriasImplementacao de ferramentas de qualidadeReducao do tempo de processamentoReducao de estoques finais e intermediariosReducao de desperdicios3 - Priorizacao das solucoes propostas4 - Implementacao e avaliacao das melhorias executadas5 - Elaboracao de relatorio finalRemuneracaoR$3.500  00 (Superiro Completo)R$4.500  00 (Mestrado Completo)Previsao de inicio das atividades: Junho de 2022REQUISITOSConheca melhor o Programa: https://ielsc.org.br/pt-br/inovatalentosLocal de trabalho: Cacador   SCRegime de contratacao de tipo: OutrosJornada: Periodo IntegralArea e especializacao profissional: Engenharia - Engenharia Industrial   ProducaoNivel hierarquico: AnalistaEscolaridade Minima: Ensino SuperiorFormacao DesejadaEngenharia de producao/industrial   Ensino SuperiorAgroindustria   Ensino SuperiorAgronomia   Ensino SuperiorEngenharia do meio ambiente   Pos-graduacao - MestradoEngenharias   Pos-graduacao - Especializacao/MBAEngenharia de producao/industrial   Pos-graduacao - DoutoradoAgronegocio   Ensino Sup";1
https://br.linkedin.com/jobs/view/eletricista-ii-at-citrosuco-s-a-agroind%C3%BAstria-3019196504?refId=i4W%2FTnOmX1EVF14SVgoqpA%3D%3D&trackingId=xpIWyA0LR7Jh7DYGCpsUCw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card;ELETRICISTA II;           Somos uma das maiores empresas de suco de laranja do mundo   100% brasileira   com capacidade para processar mais de 40% de todo o suco de laranja produzido e exportado pelo Brasil   ou mais de 20% da demanda global. Fundados pelo Grupo Fischer   pioneiro no negocio de suco de laranja no Brasil   e pelo Grupo Votorantim   um dos maiores conglomerados industriais da America Latina   existimos para dar vida a todas as possibilidades da laranja   porque mais do que uma fruta   mais do que uma cor   ela e nossa historia. Produzimos muito mais do que suco com qualidade superior. Aprendemos a respeitar a terra e a extrair dela o melhor   levando energia e saude para a mesa de familias em todo o planeta. Com respeito   equilibrio e inovacao   cuidamos de nossa cadeia de valor e entregamos solucoes que aproveitam 100% da fruta   em mais de 100 paises.E assim que fazemos da laranja o nosso mundo de possibilidades.Job description:Voce atua na area de Manutencao Eletrica? Gostaria de entrar para a maior empresa de suco de laranja do mundo?Entao olha so essa super oportunidade!!Na Citrosuco   valorizamos a diversidade   o protagonismo e o potencial das pessoas.As pessoas dao vida ao nosso proposito.Nutrimos relacoes diversas e abertas.Se inscreva na vaga e venha fazer parte do nosso mundo da laranja!Confira Abaixo Como Sera o Seu Dia a DiaMissaoResponsavel pela execucao da manutencao preditiva   preventiva e corretiva dos equipamentos einstalacoes eletricas industriais mediante solicitacao da producao e planejamento da manutencao  inspecoes dos equipamentos atraves de planos especificos   visando a disponibilidade dos equipamentosda producao   na unidade de Araras.Responsabilidade do cargoAssegurar a execucao dos trabalhos de media complexidade na manutencao eletrica preditiva   preventiva ecorretiva de maquinas e equipamentos   unidades de recepcao   transformacao   distribuicao   quadros ecomandos de energia eletrica   visando mante-los em perfeitas condicoes de funcionamento. Promover a identificacao da origem e extensao de defeitos   retirando   desmontando   consertando e/ousubstituindo e montando pecas e compentes eletricos em maquinas e equipamentos. Manter a calibracao e ajuste dos componentes   maquinas e equipamentos eletricos   testando seufuncionamento em situacoes reais e/ou simuladas   certificando-se da exatidao dos mesmos. Garantir o bloqueio   desbloqueio e teste de equipamentos eletricos   requisitar e substituir motores eletricose acompanhar a execucao de pequenos projetos. Participar do desenvolvimento e implementacao de modificacoes em maquinas e equipamentos   assistidopelo departamento de engenharia   atraves do conhecimento de inovacoes tecnologicas obtidos na consultade catalogos   desenhos   esquemas e tecnicos de outras companias   visando eliminar causas de defeitos emelhoria de desempenho. Orientar os eletricistas I na execucao das atividades de manutencao   tanto no campo como em bancadas  acompanhando e inspecionando os servicos de manutencao preditiva   preventiva e corretiva. Acompanhar os indicadores de manutencao   bem como na participar das reunioes semanais   visando oatingimento das metas da area. Realizar todas as operacoes conforme descrito nas normas e procedimentos   cumprindo os requisitos deQualidade   Seguranca dos Alimentos   Saude Ocupacional   Seguranca do Trabalho e Meio Ambiente.Requisitos ObrigatoriosCurso Tecnico Completo (Eletrotecnica   Mecatronica   Automacao   Eletromecanica...)Curso NR10Curso SEPExperiencia como eletricista industrialDisponibilidade de horario para trabalhar em turno e escala 5x1We OfferSeeked profile:;1
https://br.linkedin.com/jobs/view/bolsista-engenheiro-florestal-engenheiro-agr%C3%B4nomo-seleme-mestre-at-instituto-euvaldo-lodi-3008345763?refId=i4W%2FTnOmX1EVF14SVgoqpA%3D%3D&trackingId=YfgOImnYnVpYskCGyaavfg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card;Bolsista - Engenheiro Florestal  Engenheiro Agronomo - Seleme - Mestre;"   DESCRICAOIra atuar na Empresa Madeireira Seleme   atraves do Programa Inova Talentos   desenvolvendo o Projeto: ""Otimizacao florestal do plantio de pinus   erva-mate e variedades nativas""Contratacao: Inova Talentos via FAPESCRequisitosGraduacao ou Mestrado em Engenharia Florestal   Conhecimento de erva mate e pinus   experiencia de atuacao.Conhecimentos em planilhas   softwares de georreferenciamentoAtividades/Responsabilidades1 - Estudo dos diversos sistemas de producao de pinus   erva-mate e outras variedades nativas3 - Diagnostico do sistema de producao atual da empresa4 - Analise das solucoes tecnicas (Formas de corte   plantio   estagios de crescimentos   luminosidade solar   regioes de estradas   locais de redes de alta tensao   areas de protecao permanente (APP)   chuvas   fungos das madeiras e umidade)  5 - Desenvolvimento de novos metodos de plantio e controle de pinus   erva-mate e outras variedades nativas( Planejamento florestal: Estradas   APP   alta tensao   Producao de mudas   Condicoes de plantio   Condicoes de adubacao e manejo   Cobertura do solo   Sistemas de cultivo   Sistemas de poda e desbaste   Controle de doencas   Controle de pragas   Cronograma das praticas de manejo   Definicao dos indicadores de crescimento e producao florestal)6 - Implementacao dos novos metodos desenvolvidos7 - Acompanhamento e ajustes8 - Relatorio finalRemuneracaoR$3.500  00 (Superior Completo)R$4.500  00 (Mestrado Completo)Previsao de inicio das atividades: Junho de 2022REQUISITOSConheca melhor o Programa: https://ielsc.org.br/pt-br/inovatalentosLocal de trabalho: Cacador   SCRegime de contratacao de tipo: OutrosJornada: Periodo IntegralArea e especializacao profissional: Engenharia - Engenharia AgronomicaNivel hierarquico: AnalistaEscolaridade Minima: Ensino SuperiorFormacao DesejadaAgronomia   Pos-graduacao - DoutoradoAgroindustria   Ensino SuperiorEngenharia agronomica   Pos-graduacao - DoutoradoGestao ambiental   Pos-graduacao - MestradoEngenharia do meio ambiente   Pos-graduacao - MestradoEngenharia ambiental   Ensino SuperiorEngenharia Agronoma   Ensino SuperiorAgronegocio   Ensino SuperiorEngenharias   Pos-graduacao - Especializacao/MBA";1
https://br.linkedin.com/jobs/view/eletricista-agroindustrial-fazenda-paiagu%C3%A1s-at-slcagricolavagas-3030780515?refId=LOhiv9Dkh36SPpf0cPbjHA%3D%3D&trackingId=blCI4o8oQBeBJcsmvD9bOw%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card;Eletricista agroindustrial - fazenda paiaguas;   Tecnico em EletrotecnicaExperiencia minima de 01 ano de experiencia na funcao ( Eletricista Industrial ou Agroindustria )Experiencia com Comandos Eletricos   Automacao Industrial   Soft Start e Inversores de frequencia.NR 10 (Curso basico de baixa e alta tensao e Curso Complementar de Alta Tensao). Controlar a conservacao e executar a manutencao eletrica das maquinas   motores e outros componentes das instalacoes prediais   de forma a mante-los em perfeitas condicoes de uso. Efetuar manutencao preventiva e corretiva de Ar condicionados. Fazer manutencao da rede eletrica em todo o imovel utilizado pela a empresa   verificando fios   cabeamento e outros dispositivos. Realizar instalacao   manutencao e regulagem no sistema eletrico da irrigacao. Fazer a montagem ou reforma de sistemas eletricos   paineis e outros comandos   visando o perfeito funcionamento dos equipamentos eletricos. Efetuar a troca de lampadas   reatores e outras pecas nos sistemas de iluminacao nas dependencias da empresa   conforme a demanda dos setores. Controlar o uso/consumo dos materiais eletricos   com identificacao do trabalho realizado e material consumido.;1
https://br.linkedin.com/jobs/view/desenvolvedor-a-ionic-s%C3%AAnior-at-kooperesuperotecnologiavagas-3030786357?refId=LOhiv9Dkh36SPpf0cPbjHA%3D%3D&trackingId=gvV%2Bn2u8rjCELQVVa08sZQ%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card;Desenvolvedor(a) ionic senior;           Requisitos TecnicosExperiencia com tecnologias IONIC   angular   C# no backend   XCode   Android studio  DiferencialConhecimento em React NativeProjetos e DesafiosProfissional vai atuar na evolucao   melhorias e manutencao em um aplicativo de uso dos cooperados de um cliente do segmento da agroindustria.;1
https://br.linkedin.com/jobs/view/representante-t%C3%A9cnico-de-vendas-pleno-canarana-mt-at-4075-basf-s-a-3030728938?refId=57qDeaklJGedzDHrQxk6YQ%3D%3D&trackingId=pavDdbijFAci0KfrTuNvkg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card;Representante Tecnico de Vendas Pleno - Canarana/MT;   NegocioJuntos pelo seu legado. Esse e o compromisso da BASF com o agricultor!Aqui   o campo esta em nosso DNA e   por isso   estamos conectados as mais novas tendencias do agronegocio mundial   oferecendo um amplo portfolio de produtos e servicos   com foco na rentabilidade e sustentabilidade dos negocios.AreaEsta area de Vendas contempla meio de acesso exclusivamente via Venda Direta. Esta posicao se caracteriza por atendimento exclusivo a uma carteira de vendas composta por agricultores previamente definidos na regiao do Vale do Araguaia (MT)   tendo como maior desafio o aumento de vendas atraves da geracao de demanda   relacionamento e identificacao de oportunidades de negocios junto aos agricultores. Principais cultivos sao Soja   Milho e Algodao. Gosta de desafios? Venha liderar esse Territorio. Candidato(a)Esperamos que voce saiba se posicionar   pois voce tera frequente interacao com varios decisores da cadeia produtiva relacionando-se diretamente com os agricultores   gerentes de producao   stakeholders (consultorias) e outros departamentos da BASF. Tera a responsabilidade de implementar estrategias de vendas   desenvolvendo e executando planos de acoes com foco no aumento da participacao BASF no cliente. Alem disso   a Gestao de Conflitos e Relacionamento serao presentes em sua rotina. Voce tera como missao Alavancar as Vendas atraves de Vendas Consultivas e Assistencia Tecnica no uso correto do portfolio BASF. Esperamos que voce tenha Conhecimento Tecnico e Comercial para o cultivo de Algodao   Soja e Milho   alem de formacao completa em Engenharia Agronomica.Nossa quimica valoriza o talento e a diversidade de genero   raca   idade   nacionalidade   crencas   orientacao sexual   identidade e expressao de genero   deficiencias e todas as demais caracteristicas   diferencas e semelhancas que fazem parte da diversidade humana. Convidamos voce a se candidatar em nossas vagas! #BASF_EuRecomendoJob originally posted on GrabJobs. If you need to report this job please contact GrabJ;2
https://br.linkedin.com/jobs/view/analista-de-cr%C3%A9dito-sr-agroneg%C3%B3cio-mato-grosso-at-bancodaycovalvagas-3030787140?refId=57qDeaklJGedzDHrQxk6YQ%3D%3D&trackingId=6xnFQl1QIxX7Y9ERqhELlw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card;Analista de credito sr - agronegocio - mato grosso;   Experiencia de trabalho na area de credito de empresas com foco em agronegocios ou instituicoes financeiras (mandatorio)Conhecimento sobre Produtores Rurais e Agronegocio (mandatorio)  Conhecimento sobre Produtos e Servicos Bancarios (desejavel)  Profundo conhecimento sobre Riscos de Credito (mandatorio)  Experiencia em analise de credito   com dominio de conceitos e ferramentas  Facilidade de relacionamento com o cliente  Formacao superior em Economia   Contabilidade   Agronomia ou Administracao  Analise de balanco e reclassificacao das contas   analise voltada para Farming Companies e de Condominios Agricolas   atraves de demonstracoes financeiras preparadas pelos clientes ou atraves de balanco elaborado em sistema interno do banco  Analise de informacoes e documentacao dos clientes vinculadas ao credito (ex: dados cadastrais   bureaus de credito e garantias)  Atuacao em demandas de analise e relatorios sobre a qualidade do portfolio da regional/agencia(s)  Apoio para a equipe de Gerentes de Relacionamento na elaboracao de propostas e na elaboracao dos processos para analises de credito  Contatos com clientes   para esclarecimento de duvidas e demais aspectos relacionados as operacoes de credito e atividades do cliente  Elaboracao de relatorios de credito   a serem submetidos as alcadas de aprovacao  Identificacao de oportunidades de negocios dentro da carteira de clientes Rural  Interacao com a equipe de Credito e participacao dos Comites de Credito  Suporte aos Gerentes de Relacionamento na elaboracao das operacoes  Visita a clientes das agencias da Regional.;2
https://br.linkedin.com/jobs/view/gerente-de-relacionamento-agro-i-s%C3%A3o-gotardo-mg-at-santanderbrasilvagas-3030794743?refId=57qDeaklJGedzDHrQxk6YQ%3D%3D&trackingId=o7mAsUtgcZMrtK4YVUwPJQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card;Gerente de relacionamento agro i - sao gotardo/mg;           Graduacao Pre-requisito  Pos-Graduacao Desejavel  Certificacao CPA 10 como pre requisito desejavel CPA 20 ou CEA.Habilidade em Pacote Office Desejavel  Fazer visitas de manutencao e acompanhamento do relacionamento e preventivas de credito   quanto a gestao da qualidade da carteira. Interagir com a agencia onde o cliente detem a conta para andamento dos processos e utilizacao dos limites de ativos ou operacoes pontuais.COMERCIAL E VENDAS - Gestao negocios   Gestao de carteira   Agronegocio   Venda de produtos Agronegocio.;2
https://br.linkedin.com/jobs/view/gerente-executivo-de-planejamento-financeiro-at-oportunidadesdaheadsvagas-3030788630?refId=57qDeaklJGedzDHrQxk6YQ%3D%3D&trackingId=PjxX7Ra5h7NweaJl3N8g8Q%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card;Gerente executivo de planejamento financeiro;           Buscamos profissionais com carreira desenvolvida no Agronegocio   com solidos conhecimentos tecnicos e boa orientacao ao negocio.Perfil colaborativo   bom relacionamento pessoal   habilidades de influencia e comunicacao sao caracteristicas indispensaveis.Visao de futuro   protagonismo   capacidade de gestao complementam o perfil. Ingles fluente sera necessario.Reportando ao Diretor da area Financeira   voce sera responsavel por todas as atividades de FP&A: Orcamento   Monitoramento   Reporte e Apresentacoes dos resultados   tendo uma interface proxima com as outras areas.Tambem sera responsavel pelo Planejamento Estrategico   elaborando cenarios e se envolvendo nas decisoes futuras   tendo grande exposicao com a Alta Gestao.Vai liderar uma equipe experiente   ajudando em seu desenvolvimento continuo e na preparacao das sucessores diretos.;2
https://br.linkedin.com/jobs/view/gerente-de-relacionamento-agro-i-chapad%C3%A3o-do-sul-ms-at-santanderbrasilvagas-3030779462?refId=57qDeaklJGedzDHrQxk6YQ%3D%3D&trackingId=X%2B4xvhYx2yJTjwZLM1iWRA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card;Gerente de relacionamento agro i - chapadao do sul/ms;           Graduacao Pre-requisito  Pos-Graduacao Desejavel  Certificacao CPA 10 como pre requisito desejavel CPA 20 ou CEA.Habilidade em Pacote Office Desejavel  Fazer visitas de manutencao e acompanhamento do relacionamento e preventivas de credito   quanto a gestao da qualidade da carteira. Interagir com a agencia onde o cliente detem a conta para andamento dos processos e utilizacao dos limites de ativos ou operacoes pontuais.COMERCIAL E VENDAS - Gestao negocios   Gestao de carteira   Agronegocio   Venda de produtos Agronegocio.;2
https://br.linkedin.com/jobs/view/vendedor-externo-ribeir%C3%A3o-preto-at-empresadetecnologiavagas-3030782085?refId=57qDeaklJGedzDHrQxk6YQ%3D%3D&trackingId=3UkOwjcwnKCgg%2BF6UFBP9w%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card;Vendedor externo - ribeirao preto;   Formacao Superior completa em Agronomia   Ciencias Contabeis   Administracao   Economia ou areas afins. Experiencia com vendas de produtos e servico no minimo um ano   Experiencia e conhecimento em ERP   Sera um diferencial se tiver experiencia em sistemas direcionado ao agronegocio ou conhecimento SAP Business One   Disponibilidade para viajar   Visitas   demonstracoes e negociacao de produto e servicos a prospeccao e clientes de determinada regiao   Prospeccao de novos clientes   Atendimento a clientes da carteira Agrotis   Acompanhamento da entrega de produtos e servicos (Pos-venda)   Executar o fluxo do processo comercial (CRM   agendas   pedidos   venda)   Participacao em feiras   exposicoes   treinamentos   dia de camp;2
https://br.linkedin.com/jobs/view/analista-de-assuntos-regulat%C3%B3rios-i-at-mdiasbrancovagas-3030775984?refId=KZsyJ8CQBSZZeJXKHXQQGQ%3D%3D&trackingId=NAOXhxh%2BeJjpCTqprhZVPg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card;Analista de assuntos regulatorios i;   Superior na Engenharia Quimica   Engenharia de Alimentos   Biotecnologia   Quimica Industrial ou areas correlatas. No minimo 6 meses de experiencia na area ou areas correlatas.Sera Um Diferencial SeRegulamentos sanitarios nacionais e/ou internacionais na area de alimentos   Nocoes de relacionamento com entidades Nao Governamentais  Ingles basico. Seus Desafios SeraoParticipar ativamente dos projetos de desenvolvimento/ melhoria de produtos da Empresa com visao regulatoria sanitaria e aplicando o compliance dos produtosContribuir para o suporte regulatorio as demandas da area de SAC   no que se refere a identificacao e interpretacao de regulamentos sanitarios   Acompanhar as acoes de desenvolvimento do cenario regulatorio nacional e as praticas de representacao da companhia junto as Organizacoes Governamentais e Nao Governamentais   Contribuir para a execucao dos planos de trabalho da area   Desenvolver habilidades e competencias requeridas pela area   Cumprir os requisitos de seguranca de aliment;3
