url_format;curso_id;format_titulo;format_desc;postdate;locale
https://br.linkedin.com/jobs/view/estagiario-em-engenharia-de-alimentos-at-grupo-3cora%C3%A7%C3%B5es-3131633013;2;ESTAGIARIO EM ENGENHARIA DE ALIMENTOS; Sobre o Grupo 3coracoesO Grupo 3coracoes e construido por pessoas   antes de tudo   apaixonadas pelo que fazem. Temos orgulho de crescer pela forca do trabalho e seguir   cada vez mais longe   sem esquecer a nossa essencia e os nossos valores.E pelo nosso jeito simples de ser que celebramos a diversidade de pessoas e as experiencias saborosas que entrelacam historias.O resultado e uma companhia com produtos de qualidade   colaboradores e consumidores felizes   fornecedores e parceiros integrados em uma mesma missao: proporcionar experiencias prazerosas que promovam alegria e bem-estar   criando lacos duradouros e gerando valor para todos.Deguste um mundo de possibilidades na maior empresa de cafe do Brasil!Saiba mais em www.3coracoes.com.brVaga com atuacao em Fortaleza   na Positive Brands.ATIVIDADESRealizar o acompanhamento das analises nutricionais dos produtos  Auxiliar na gestao de documentos do setor  Preparar relatorios e apresentacoes relacionadas a qualidade de insumos e produtos  Auxiliar em assuntos regulatorios relacionados a exportacao de produtos  Garantir a atualizacao de documentos de qualidade dos fornecedores  Identificar e organizar contraprovas de produtos  Auxiliar nas demais atividades do setor.REQUISITOSESCOLARIDADECursar Engenharia de Alimentos ou areas afins ou curso tecnico em agroindustria/nutricao/alimentos.NECESSARIOCursos de BPF   APPCC   ISO 9001:2015   Rotulagem de Alimentos e Ferramentas de Qualidade  Desenvoltura para ministrar treinamentos  Conhecimento do Pacote Office.BENEFICIOSBolsa estagio Plano de Saude TransporteRefeicao na EmpresaKit de Produtos mensalSeguro de Vida Gympass Exibir mais Exibir menos ;2022-06-21;
https://br.linkedin.com/jobs/view/est%C3%A1gio-sert%C3%A3ozinho-sp-%E2%80%93-jornalismo-%E2%80%93-vgavsa165-at-alpha-est%C3%A1gio-3127620920;2;ESTAGIO SERTAOZINHO SP  JORNALISMO  VGAVSA165; Nosso cliente e uma empresa de comunicacao e eventos   alem de um portal de noticias especializados em conteudos voltados a agroindustria.Bolsa-Auxilio: R$ 800  00Horario do Estagio: De segunda a sexta-feira   das 08:00 as 15:00 (1h de intervalo)Beneficios: Auxilio - Transporte: R$ 100  00RequisitosCursar Jornalismo no periodo noturno   Ter boa comunicacao e redacao   ser proativo e possuir bom relacionamento interpessoal. AtividadesPublicacao de noticias em portal   Redacao de textos jornalisticos   Entrevistas jornalisticas. Cidade: Sertaozinho - SPRegiao: Parque Res. Francisco Paschoal Exibir mais Exibir menos ;2022-05-29;
https://br.linkedin.com/jobs/view/est%C3%A1gio-na-%C3%A1rea-de-embarque-gr%C3%A3os-i-santos-sp-at-adm-do-brasil-ltda-3128252159;3;Estagio na area de Embarque Graos I Santos - SP; SobreSomos uma multinacional americana do segmento do agronegocio e ingredientes para alimentos. Atuamos numa ampla rede de originacao de graos   processamento elogistica mundiais   conectando culturas mercados em mais de 60 paises. Missao:Tornar-se a Mais Admirada Empresa Do Ramo AtividadesAcompanhar   elaborar e aplicar controles e KPIs estatisticos de embarque incluindo: (tempos de operacao   tempos de paradas   fluxos liquido e bruto e demais indicadores de performance da area)   -Auxiliar na elaboracao e promocao dos registros da producao de acordo com as especificacoes da linha por comanditeis a serem movimentados   -Elaborar   participar e auxiliar na programacao e reunioes para o acompanhamento das atividades junto a manutencao e limpeza nos equipamentos nas linhas de embarque   -Auxiliar no planejamento de producao diario de acordo com a demanda operacional e acompanhar os padroes de qualidade de produtos embarcados. Exibir mais Exibir menos ;2022-06-21;
https://br.linkedin.com/jobs/view/est%C3%A1gio-na-%C3%A1rea-de-recebimento-de-gr%C3%A3os-i-santos-sp-at-adm-do-brasil-ltda-3128246779;3;Estagio na area de Recebimento de Graos I Santos - SP; SobreSomos uma multinacional americana do segmento do agronegocio e ingredientes para alimentos. Atuamos numa ampla rede de originacao de graos   processamento elogistica mundiais   conectando culturas mercados em mais de 60 paises. Missao:Tornar-se a Mais Admirada Empresa Do Ramo AtividadesDar suporte nos processos de Recebimento Ferroviario exercendo atividades relacionadas a area operacional conhecendo toda a rotina para obter experiencia e conhecimento da profissao   -Monitorar e aplicar controles estatisticos de descarga de vagoes dentre elas incluem: (tempos de operacao   tempos de paradas   fluxos liquido e bruto e demais indicadores de performance da area)   -Auxiliar no cumprimento das metas de producao dos turnos   dentro dos padroes de qualidade   quantidade   custos e prazo estabelecidos pela empresa   -Programar e cobrar atividades junto a manutencao e limpeza em equipamentos na producao e preparar recursos para tal   -Auxiliar no planejamento de producao diario de acordo com a demanda logistica. Exibir mais Exibir menos ;2022-06-21;
https://br.linkedin.com/jobs/view/est%C3%A1gio-na-%C3%A1rea-de-planejamento-log%C3%ADstico-i-santos-sp-at-adm-do-brasil-ltda-3128249438;3;Estagio na area de Planejamento Logistico I Santos - SP; SobreSomos uma multinacional americana do segmento do agronegocio e ingredientes para alimentos. Atuamos numa ampla rede de originacao de graos   processamento elogistica mundiais   conectando culturas mercados em mais de 60 paises. Missao:Tornar-se a Mais Admirada Empresa Do Ramo AtividadesAtuar com acoes de melhoria   padronizacao e avanco do Planejamento e Controle de Producao visando maximizacao da utilizacao dos ativos alinhado com excelencia operacional e perda zero   -Controle e gestao de indicadores de entrega do plano de curto   medio e longo prazo com objetivo de viabilizar o atendimento do plano estrategico de movimentacao do Porto de Santos   -Desenvolvimento de controles atraves de ferramentas de analise de dados (Power Bi e Excel) com o objetivo de facilitar a busca de informacoes e tomada de decisao   -Controle de Movimentacao   -Controle de indicadores das areas operacionais   -Controle de custos de Navios ligados a planejamento   -Controle de armazenamento de graos e farelo de soja com o objetivo de facilitar decisao de distribuicao das cargas maximizando o uso do estoque e garantindo uma operacao eficaz. Exibir mais Exibir menos ;2022-06-21;
https://br.linkedin.com/jobs/view/est%C3%A1gio-em-administra%C3%A7%C3%A3o-engenharia-de-produ%C3%A7%C3%A3o-vgagro146-at-alpha-est%C3%A1gio-3124820404;3;ESTAGIO EM ADMINISTRACAO / ENGENHARIA DE PRODUCAO- VGAGRO146; Nosso cliente e uma empresa de Software do ramo Agro. Atuando no controle e gestao do agronegocio   por meio de desenvolvimento de software para agropecuaria.Bolsa-Auxilio: R$ 1000  00Horario do Estagio: De segunda a sexta (6 horas)Beneficios: Auxilio - Transporte: R$ 100  00RequisitosCursar Administracao   Engenharia de Producao ou areas correlatas a partir do 7 semestre   Ter facilidade em desenhar processos  Perfil analitico.AtividadesSuporte na gestao de processoGerenciar workflow do processo operacional  Dar suporte ao cliente juntamente com o gestor  Repasse dos projetos para os desenvolvedores do sistema. Cidade: Ribeirao Preto - SPRegiao: Vila do Golfe Exibir mais Exibir menos ;2022-06-14;
https://br.linkedin.com/jobs/view/est%C3%A1gio-produ%C3%A7%C3%A3o-at-nube-n%C3%BAcleo-brasileiro-de-est%C3%A1gios-3147508383;4;Estagio: Producao; Embalar produtos e conferir o lacre dos alimentos   Auxiliar na expedicao de pedidos   montar as caixas de papelao   Auxiliar nas demais atividades da area Exibir mais Exibir menos ;2022-06-28;
https://br.linkedin.com/jobs/view/est%C3%A1gio-biomip-agentes-biol%C3%B3gicos-at-rehagro-3115080009;3;Estagio Biomip (Agentes Biologicos); Oportunidade para Estagio? Temos! Estamos buscando por um novo talento   e ele pode ser VOCE!Antes de passarmos os detalhes   gostariamos de nos apresentar: somos o Grupo Rehagro e oferecemos solucoes completas em cursos   consultorias   analises laboratoriais   pesquisas e agentes biologicos.O nosso proposito e transformar vidas por meio do agronegocio e   para isso   contamos com um time top das galaxias! Serio mesmo   a equipe e incrivel demais e temos um orgulho danado de cada um deles.Agora   vamos divulgar alguns spoilers importantes sobre o que voce vai encontrar se topar trabalhar na Biomip (Agentes Biologicos):Precisamos de uma pessoa:Que goste de trabalhar em equipe e se engaje com os objetivos do timeAtenta aos detalhes e que valorize um trabalho padronizado bem feitoProativa   com tendencia a perceber oportunidades de melhorias e aponta-lasCapaz de absorver novas informacoes rapidamente e coloca-las em pratica de forma eficazNo seu dia a dia   voce ira:Auxiliar todas as etapas de producao de fungos entomopatogenicos dentro da biofabrica: preparo de substrato   inoculacao   crescimento   secagem e extracao de fungos.Requisitos Fundamentais:Graduacao em andamento nos cursos de Agronomia   Ciencias Biologicas ou areas afinsDisponibilidade para atuar 20 horas semanais (segunda a sexta / manha ou tarde)Voce ira se destacar se:Ja tiver cursado a disciplina de microbiologiaOferecemos:Bolsa de estagioSeguro de vidaPossibilidade de efetivacaoE ai   bora fechar com a gente? O nosso processo seletivo e bem rapido e simples.Desejamos boa sorte na sua jornada! Esperamos que voce tambem faca parte do #TIMEREHAGRO! Exibir mais Exibir menos ;2022-05-29;
https://br.linkedin.com/jobs/view/est%C3%A1gio-agronomia-presencial-curitiba-at-agrotis-3128530254;3;Estagio Agronomia (Presencial - Curitiba); Job DescriptionVoce tem paixao por agronegocio e tecnologia?Gostaria de fazer parte de um time energico   dedicado a construcao de solucoes para levar a transformacao digital ao agronegocio?Estamos a procura de estagiarios de agronomia.Precisamos de pessoas dispostas a aprender sobre gestao do agronegocio   gestao de empresas e tecnologias inovadoras.Aqui   voce compartilhara conhecimento e se juntara com alguns dos melhores profissionais do agronegocio.Main responsibilitiesAtuara dentro do time de Agronomico   auxiliando na implantacao do sistema e atendimento especializado aos clientes.Requirements And SkillsEstar cursando a partir do 5o periodo de Agronomia   Conhecimento intermediario do Pacote Office  Additional informationBolsa Auxilio de R$ 9  00/horaTrabalhar no Centro de Curitiba de segunda a sexta com horario semi-flexivel  VR de R$383  25 /mes  Plano de saude e Odontologico  Seguro de vida  GymPass  Clube de Descontos Gazeta do Povo  Otimo ambiente   espaco para refeicoes   sala de descompressao com games   biblioteca   tenis de mesa   sinuca   muito cafe (nos adoramos cafe)   e toda segunda-feira quitutes deliciosos.Apaixonados por tecnologia e agronegocioNa Agrotis adoramos desafios pois assim aprimoramos constantemente nosso conhecimento e formas de atuacao.Temos uma crenca forte nos metodos ageis   mas somos flexiveis o suficiente para adapta-los quando as necessidades determinam.Acreditamos firmemente que a diversidade de experiencias   perspectivas e incentivos nos levara a um ambiente melhor para nossos colaboradores e consequentemente um produto melhor para nossos usuarios e clientes.Prezamos acima de tudo por um time de verdade. Valorizamos relacionamentos e somos orgulhosos em promover um local de trabalho agradavel com um pouco de diversao em disputadas partidas de FIFA   tenis de mesa e sinuca. Ah! Tambem gostamos de cerveja e muito cafe   temos uma Nespresso!Valorizamos profundamente a inovacao   assim convidamos e encorajamos todos a virem fazer parte da missao de levar a transformacao digital para o agronegocio.E voce   tambem e apaixonado por tecnologia e agronegocio?Entao vem pra Agrotis!Conheca mais sobre nos Website LinkedIn Facebook Instagram Exibir mais Exibir menos ;2022-05-29;
https://br.linkedin.com/jobs/view/est%C3%A1gio-na-%C3%A1rea-de-melhoria-cont%C3%ADnua-i-santos-sp-at-adm-do-brasil-ltda-3128248462;3;Estagio na area de Melhoria Continua I Santos - SP; SobreSomos uma multinacional americana do segmento do agronegocio e ingredientes para alimentos. Atuamos numa ampla rede de originacao de graos   processamento elogistica mundiais   conectando culturas mercados em mais de 60 paises. Missao:Tornar-se a Mais Admirada Empresa Do Ramo AtividadesSuportar processos de Performance Excellence exercendo atividades administrativas e de aprendizado dentro da metodologia PE junto aos membros do Centro de Excelencia   -Participar da gestao do time   sendo responsavel pelo acompanhamento das acoes   mantendo o alinhamento da equipe e auxiliando no atingimento dos objetivos da area   -Participar   conforme disponibilidade   das visitas de acompanhamento na localidade para verificar in-loco as implementacoes e sugerir melhorias de acordo com os conceitos PE   -Sugerir melhorias nos processos internos de gestao de informacao da area   atuando proativamente para a melhoria da comunicacao   simplificando rotinas   e aumentando a sinergia entre os colegas do PE LATAM. Exibir mais Exibir menos ;2022-06-21;
