Materia;Titulo;link;Descricao
Agroindustria;Analista de Recursos Humanos Sr;https //www.vagas.com.br/vagas/v2378015/analista de recursos humanos sr;Treinamento e Desenvolvimento desenvolver e ministrar conteudos de treinamentos comportamentais. Atracao e Selecao realizar R&S para vagas Administrativas Tecnicas e de Liderancas bem como acompanhar os indicadores de desempenho destes processos. Atuar diretamente na gestao do clima organizacional diagnostico resultados e execucao do plano de acao. Gestao de Desempenho apoiar na construcao de ferramenta de avaliacao de desempenho 360o bem como acompanhar o processo evolutivo de desenvolvimento dos profissionais. Realizar descricoes de cargos e apoiar nas atividades de pesquisas salariais e ajustes de estrutura. Realizar e acompanhar indicadores de desempenho da area de Recursos Humanos. Ser responsavel pelo Programa de Integracao de novos colaboradores
Agroindustria;Comprador Jr / PL  Agronegocio;https //www.vagas.com.br/vagas/v2345397/comprador jr pl agronegocio;Atribuicoes  Aquisicao de MRO (Manutencao Reparos e Operacao) ferramentas material de construcao de escritorio e limpeza EPI TI mantimentos e cesta basica medicamentos cadastramento de itens e fornecedores colocacao de contratos e pedidos de compra no Sistema ERP dando apoio a outros compradores da equipe.  Requisitos    Desejavel Conhecimento ERP Totvs DATASUL  Conhecimento intermediario de EXCEL  Solida experiencia na funcao (desenvolvimento de fornecedores realizacao de cotacoes negociacao input de pedidos dentro das boas praticas)  Sera considerado um diferencial ter trabalhado no ramo de agricultura agroindustria alimenticio (supermercado ou cozinha industrial) logistica. Trabalho 100% presencial.
Agroindustria;Supervisor de Producao;https //www.vagas.com.br/vagas/v2377413/supervisor de producao;Liderar supervisionar as atividades da linha e dos colaboradores sob sua supervisao diariamente cuidar para que todo pessoal possua a qualificacao e experiencia necessarias para realizar de modo adequado as tarefas atribuidas por ele. Organizar a coleta de dados e informacoes confiaveis da area produtiva equipe equipamentos para formacao de indicadores e relatorios analisar os relatorios diarios de producao e qualidade visando identificar desvios dos padroes no processo produtivo providenciando as respectivas correcoes. Apoiar o setor da Qualidade na supervisao da qualidade dos produtos durante todo o processo de producao de acordo com a especificacao tecnicas procedimentos e programas de qualidade BPF (Boas Praticas de Fabricacao) Rastreabilidade HACCP (Analise de Perigos e Pontos Criticos de controle) PPHO (Procedimentos Padrao de Higiene Operacional) POP(Procedimentos Operacionais Padronizados)  Verificar registrar e tomar providencias caso necessario sobre situacoes anormais detectadas quanto  a seguranca e higiene de cada estacao de trabalho dos funcionarios das maquinas e dos produtos. Supervisionar as atividades de estocagem de produtos acabados visando assegurar conformidade com as especificacoes estabelecidas. Outros requisitos Sera um diferencial a experiencia no segmento de industria de alimentos.
Agroindustria;Gerente de ESG;https //www.vagas.com.br/vagas/v2354503/gerente de esg;Responsavel pela area de sustentabilidade ambiental social e governanca. Necessario experiencia previa nos respectivos departamentos  Experiencia em agroindustria e importante e requisito  Desafio de implementar a area
Agroindustria;Desenhista Agricola;https //www.vagas.com.br/vagas/v2357100/desenhista agricola;	Atuar na elaboracao de desenhos e projetos utilizando os dados topograficos levantados em campo abrangendo tambem a codificacao de talhoes para monitoramento SGPA elaboracao de mapas de sistematizacao de solo  	Criacao de layouts para calculo e desenhos de mapas planialtimetricos utilizando a ferramenta digital Autocad  	Realizar o pos processamento de dados de GPS levantados pela equipe de Agricultura de Precisao  	Elaboracao de projetos de sulcacao (meiosi e cantosi) em ferramenta digital Agrocad  	Elaboracao dos books de mapas da safra  	Manter se atualizado quanto aos procedimentos operacionais que envolvem as atividades da producao de cana  	Manter o acervo cartografico sempre atualizado e organizado.Outros requisitos 	Ensino tecnico voltado a area agricola ou afins  	Experiencia em Interpretacao e desenho de informacoes geograficas e projetos de engenharias diversas principalmente aqueles aplicados a agroindustria canavieira  	Conhecimento nos sistemas AgroCAD Arcgis QGIS  	Disponibilidade para residir na regiao de Clementina.
Agronegocio;Advogado Agronegocio  Pleno;https //www.vagas.com.br/vagas/v2351362/advogado agronegocio pleno;Requisitos  Ensino Superior Completo em Direito  OAB ativa  Pos graduacao em Direito Agrario  Solida Experiencia na atuacao em Direito Agrario  Vivencia em negociacoes com clientes  Habilidade para fazer negocios e prospectar clientes do agronegocio  Habilidade para realizar atendimento ao cliente em diferentes canais de comunicacao  Comprometimento organizacao pontualidade assiduidade proatividade agilidade atencao concentrada discricao postura profissional etica facilidade de relacionamento e trabalho em equipe espirito colaborativo e foco em resultados.
Agronegocio;Tecnico Mecanica Industrial de Agronegocios;https //www.vagas.com.br/vagas/v2359094/tecnico mecanica industrial de agronegocios;Ter um profundo conhecimento sobre maquinas ferramenta mecanismos pneumaticos hidraulicos eletricos eletroeletronicos sistemas de controle acionamento mecanico e ferramentas e dispositivos. Experiencia em montagem de sistemas de transportes na producao automatizada nas industrias de alimentos solda e tratamentos superficiais ou em qualquer outro segmento industrial. Atuar na inspecao industrial da montagem de equipamentos e para estarem na configuracao correta ou seja prontos para seu uso imediato. Ter capacidade de interpretar desenhos tecnicos em toda a cadeia metal mecanica identificar materiais operar maquinas operatrizes manusear com seguranca diversas ferramentas e conhecer em profundidade o funcionamento dos principais instrumentos de medicao. Controlar e disponibilizar documentacao do projeto as frentes de servico. Apropriar dos servicos executados de campo indices de produtividade estimativas e controle dos prazos acompanhamento do previsto x realizado. Acompanhar cronogramas de obras. Desejavel ter atuado no Planejamento da Fase de Comissionamento e Start Up. Idiomas Ingles  Nivel BasicoOutros requisitos Competencias Tecnicas  Formacao em Tecnologo em Mecanica Industrial  Office avancado  Autocad  Experiencia em projetos de medio e grande porte no ramo de agronegocios e industrial  Conhecimento em montagem eletromecanica (transportadores de correia filtros tombadores elevadores de caneca etc)  Disponibilidade de morar em Porto Velho/RO. Competencias Desejaveis  Orcamento de Obras e Gestao de Custos e Aquisicoes. Competencias Comportamentais  Espirito de Lideranca  Boa comunicacao  Dinamismo  Senso de dono  Pro atividade e Foco no objetivo. Observacoes Gerais  Forma de Contracao CLT ou PJ  Prazo Temporario  2 ano  Inicio imediato.
Agronegocio;Tecnico Eletricista e Automacao Industrial de Agronegocios;https //www.vagas.com.br/vagas/v2359095/tecnico eletricista e automacao industrial de agronegocios;Ter um profundo conhecimento sobre instalacoes eletricas de equipamentos subestacao de alta tensao e baixa tensao sistemas de controle acionamento eletrico ferramentas e dispositivos. Experiencia em instalacoes eletricos/automacao de sistemas de transportes na producao automatizada nas industrias de alimentos solda e tratamentos superficiais ou em qualquer outro segmento industrial. Atuar na inspecao industrial de instalacoes eletricas/automacao de equipamentos e averiguando se estao na configuracao correta ou seja prontos para seu uso imediato. Ter capacidade de interpretar desenhos tecnicos em toda a rede eletrica/automacao identificar materiais manusear com seguranca diversas ferramentas e conhecer em profundidade o funcionamento dos principais instrumentos de medicao. Controlar e disponibilizar documentacao do projeto as frentes de servico. Apropriar dos servicos executados de campo indices de produtividade estimativas e controle dos prazos acompanhamento do previsto x realizado. Acompanhar cronogramas de obras. Desejavel ter atuado no Planejamento da Fase de Comissionamento e Start Up. Idiomas Ingles  Nivel BasicoOutros requisitos Competencias Tecnicas  Formacao em Tecnologo em Eletrotecnica Industrial  Formacao em Tecnologo de Automacao Industrial  Curso de NR10 e NR10 SEP  Office avancado  Autocad  Experiencia em projetos de medio e grande porte no ramo de agronegocios e industrial  Conhecimento em instalacoes eletricas e automacao de equipamentos (transportadores de correia filtros tombadores elevadores de caneca etc)  Disponibilidade de morar em Porto Velho/RO. Competencias Desejaveis  Orcamento de Obras e Gestao de Custos e Aquisicoes. Competencias Comportamentais  Espirito de Lideranca  Boa comunicacao  Dinamismo  Senso de dono  Pro atividade e Foco no objetivo. Observacoes Gerais  Forma de Contracao CLT ou PJ  Prazo Temporario  2 ano  Inicio imediato.
Agronegocio;Coordenador de Vendas  Televendas;https //www.vagas.com.br/vagas/v2367749/coordenador de vendas televendas;PRINCIPAIS FUNCOES  Coordenar as atividades de vendas orientar e analisar a performance da equipe visando o cumprimento das metas estabelecidas. Acompanhar todos os processos de pre e pos venda no atendimento a clientes prazos de entregas e pagamentos participando da definicao estrategica de vendas. Garantir as negociacoes dentro da politica comercial vigente bem como as operacoes comerciais. Outros requisitos PRINCIPAIS REQUISITOS  Ambos os sexos  Formacao ensino superior em Administracao Agronegocios e areas afins  Proatividade e organizacao  Conhecimento do Pacote Office nivel intermediario ou avancado  Experiencia em gestao de negociacoes comerciais  Experiencia em gestao de pessoas  Ter boa comunicacao e escrita  Experiencia no ramo do Agronegocio sera um diferencial. OBS Residir no maximo a 60km de Batatais/SP ou entao ter disponibilidade para mudanca de cidade.
