Link;Titulo;Desc;Curso
Link;Titulo;Desc;Curso
https://www.vagas.com.br/vagas/v2380638/consultor-tecnico-jr-ti-ciencia-da-computacao-analise-e-desenvolvimento-de-sistemas-sistema-da-informacao-df;Consultor Tecnico Jr TI /(Ciencia da Computacao Analise e desenvolvimento de Sistemas Sistema da Informacao) / DF;Como Consultor (a) Tecnico Jr no FI GROUP voce tera uma experiencia completa e ininterrupta encontrando sempre a melhor forma de criar conexoes reais.   Como Consultor (a) Tecnico Jr voce ira     Gerir carteira de clientes em fator de atendimento     Consultoria e Assessoria aos Clientes FI     Identificar atividades de P&D     Cadastrar e atualizar dados em sistema especificos da FI     Participar de reunioes internas e visitas aos Clientes     Analisar documentos (nivel tecnologico) de forma criteriosa e tecnica     Quantificar e analisar dados de projetos no ambito Tecnico     Auxiliar na identificacao de oportunidades de otimizacao de processos e resultados     Executar as estrategias pre definidas pela FI     Elaborar relatorios especificos e Tecnicos     Prestar suporte a area Tecnica como um todo.    Esperamos Que Voce Tenha  Graduacao completa em Sistemas de Informacao Engenharia da Computacao Analise e Desenvolvimento de Sistemas Tecnologia da Informacao Engenharia de producao Mecatronica Engenharia Mecanica Engenharia Eletrica Engenharia Eletronica Engenharia materiais e cursos correlatados a TI.    CNH ativa para dirigir.   Disponibilidade para viagens.      Sera Um Diferencial Se Voce Tiver  Cursos e Especializacoes na area de conhecimento  Ingles  Espanhol  Habilidade em comunicacao escrita (elaboracao de relatorios sera um diferencial) e verbal.    O Que Oferecemos no FI GROUP  Salario competitivo  Beneficios Flexiveis  Plano de Saude  Plano Odontologico  Auxilio Home Office  Seguro de vida.  Muita possibilidade de crescimento temos muito a crescer e esperamos fortemente que voce nos ajude com isso!   Ficou interessado(a)? Inscreva se e conheca mais sobre nosso time. #VemSerF;6
https://www.vagas.com.br/vagas/v2359110/assistente-desenvolvedor-de-tecnologia;Assistente Desenvolvedor de Tecnologia;REQUISITOS Graduacao completa ou cursando ultimo Semestre em Tecnologia da Informacao Analise e Desenvolvimento de Sistemas ou areas afins. QUALIFICACOES  Linguagens de desenvolvimento banco de dados sistemas recursivos Wordpress PHP. DIFERENCIAL Conhecimento em AWS.;6
https://www.vagas.com.br/vagas/v2382905/analista-de-sistemas-junior-java;Analista de Sistemas Junior (java);Pre requisitos  Curso superior completo ou cursando em Ciencias da Computacao ou equivalente.  Desejavel especializacao em TI  Experiencia em projetos Levantamento especificacao desenvolvimento testes e implantacao Experiencia em metodos ageis Scrum Kanban ou Lean  Experiencia em desenvolvimento nas seguintes linguagens Java JavaScript  Conhecimentos tecnicos de banco de dados (modelagem de dados)  Conhecimentos tecnicos em servidores de aplicacao (Wildfly) e servidores web (Apache). Conhecimentos Desejaveis  Produtos API Management Salesforce Portais. Experiencia em ambientes heterogeneos com multiplos databases linguagens e formas de integracao. Conhecimento nas linguagens Cobol Angular PHP e Cold Fusion Cloud  AWS e Google Cloud  Principais atividades     	Participar da analise e execucao dos projetos     	Participar da analise e execucao das demandas de sustentacao     	Propor solucoes definir as atividades necessarias para a realizacao de mudancas de sistemas e processos de baixa complexidade e risco analisando os impactos em sistemas e processos atraves do entendimento da necessidade conhecimento tecnico e arquitetonico dos sistemas e impacto em demais sistemas.     	Executar atividades de desenvolvimento e manutencao de baixa complexidade e risco atraves da analise da mudanca necessaria nos codigos execucao e testes necessarios para garantir a qualidade e performance dos programas.     	Participar das atividades de planejamento para a liberacao do produto para homologacao e producao por meio da validacao de testes de aceite assim como documentacao de nao conformidades avaliando e planejando a execucao das correcoes reportadas      	Participar da rotina de SQUADs.;6
https://www.vagas.com.br/vagas/v2381410/analista-ti-foco-em-desenvolvimento;Analista TI (foco em Desenvolvimento);Estamos em uma jornada de expansao e transformacao! Somos uma equipe apaixonada por contribuir com o sucesso dos nossos clientes internos e neste momento buscamos um Analista TI (com foco em desenvolvimento) corporativo para fazer parte do nosso time.Aqui na MILPLAN voce ira Desenvolver em linguagem ADVPL/MVC (telas relatorios web Service pontos de entrada ExecAuto) Atuar com suporte aos sistemas Internos com instalacao configuracao parametrizacao atualizacao infraestrutura testes entre outras atividades Apoiar atualizacao de versoes de sistemas em ambientes de homologacao e producao  Mapear processos nas areas em relacao aos sistemas internos com levantamento de requisitos e regras de negocios e criar modelagem de dados  Avaliar previamente os impactos das alteracoes em outros processos de negocio  Registrar documentar priorizar e monitorar junto aos fornecedores a resolucao dos problemas bem como alinhamento dos projetos a serem desenvolvidos  Acompanhar e buscar melhoria para os sistemas Institucionais com apoio a criacao de customizacoes e novas funcionalidades  Auxiliar o desenvolvimento de relatorios via ferramentas de banco de dados  Identificar e orientar os usuarios na solucao de problemas Atualizacoes de Builds Releases e Versoes(UpdDistr)  Elaboracao de documentacao (Change)  Especificacao e analise tecnica. Sera diferencial conhecimento em Analytics (BI) e Fluig. O Que Precisamos Que Voce Tenha Experiencia na area  Ensino Superior Completo em Analises de Sistemas Ciencias da Computacao Informatica ou areas afins. Conhecimento no ERP Protheus 12 e seus modulos  Conhecimento em arquitetura do sistema  Conhecimento de projetos (Levantamento de requisitos e documentacao funcional) Conhecimento na linguagem de programacao ADVPL/MVC  Conhecimento de banco de dados (SQL)  Experiencia no desenvolvimento de customizacoes e suporte;6
https://www.vagas.com.br/vagas/v2380068/projetista-de-sistemas-de-combustivel;Projetista de Sistemas de Combustivel;Akaer busca projetista de sistemas observando normas tecnicas normas aplicaveis a cada tecnologia requisitos de certificacao e requisitos das areas de desenvolvimento   sistemas e outras.  Conhecimento Tecnico   Sistemas aeronauticos   Sistemas Hidromecanicos   Sistemas de Propulsao e Combustivel.  Responsabilidades   Concepcao e detalhamento de sistemas de combustivel   Definicao de componentes e materiais   Analise zonal   Segregacao de sistemas   Instalacao do sistema.  Habilidades   CATIA V5   Interface com cliente.Idiomas Ingles  Nivel IntermediarioOutros requisitos Formacao Ensino Medio. Desejavel Ensino Tecnico.;6
https://www.vagas.com.br/vagas/v2370406/estagio-analise-de-dados;Estagio Analise de Dados;Atividades   Desenvolvimento de dashboards utilizando a ferramenta Tableau   Programacao em software de pesquisa de mercado (recebera treinamento)   Analise e manipulacao de banco de dados. Horario 9 as 16h (com 1h de intervalo) e 10 as 17h (com 1h de intervalo) *** Estagio sera inicialmente em home office. Escritorio da empresa localiza se no Centro do Rio *** Quando retornarem as atividades presenciais sera concedido o auxilio transporte. Apos 6 meses de estagio tambem sera concedido vale alimentacao (R$ 200 /mes).  Outros requisitos Imprescindivel ser estudante de CIENCIA DA COMPUTACAO / SISTEMAS DE INFORMACAO 3o ao 5o periodo ou TECNOLOGIA DA INFORMACAO / ANALISE E DESENVOLVIMENTO DE SISTEMAS cursando 3o periodo logica de programacao boa comunicacao;6
https://www.vagas.com.br/vagas/v2378588/estagio-manas-da-tech-b3;Estagio  Manas da Tech  B3;Requisitos Cursando Ensino Superior (Bacharelado ou Tecnologo) na area de tecnologia (Ciencia da Computacao Analise e Desenvolvimento de Sistemas Tecnologia da Informacao Engenharia de Softwares/Sistemas)  Previsao de formacao entre julho de 2023 a dezembro de 2024  Morar em Sao Paulo ou ter disponibilidade para mudanca Inscreva se!Outros requisitos;6
https://www.vagas.com.br/vagas/v2360716/analista-de-suporte;Analista de Suporte;Buscamos um profissional que sinta prazer em atender em apoiar e entenda que o suporte e uma area de suma importancia para o bom funcionamento da cia. Este profissional tera em seu dia a dia as seguintes atividades  Prestar suporte em sistemas de informacao desenvolvidos pela empresa ou por terceiro atendendo os usuarios internos levantando as informacoes analisando os processos solucionando os problemas para agilidade do atendimento ao cliente final   Analisar problemas reportado pelos usuarios atraves da requisicao (Chamados)   Orientar usuarios quanto o uso dos sistemas   Abrir chamado para equipe de desenvolvimento ou para fornecedor de software quando o sistema apresentar problemas   Analisar erro e atuacao nas inconsistencias de integracoes abrindo chamados para equipe interna ou para o fornecedor do software   Liberar acessos e orientar usuarios no uso do Sistema de Abertura de Chamados  Repassar aos analistas o levantamento das inconsistencias para busca de solucao   Realizar testes nas atualizacoes de sistemas subsidiando o analista de informacoes para sucesso dos processos de atualizacao   Garantir a qualidade e prazo das entregas dentro da SLA e processos.  Outros requisitos Conhecimento avancado em informatica  Necessario conhecimento basico em sql estar Cursando ou ter formacao em sistema de informacao ciencia da computacao engenharia de software. Boa comunicacao com as interfaces ser proativo e com foco em resultados. Possuir acesso a internet  Disponibilidade de horario  Sera considerado diferencial  Conhecimento em banco de dados oracle e/ou postegres. Conhecimento em alguma linguagem de programacao.;6
https://www.vagas.com.br/vagas/v2381628/estagio-t-i;Estagio T.i;DESCRICAO Monitoramento de interface entre os sistemas.Desenvolvimento de interfaces na ferramenta de integracao da Telhanorte .Apoiar na governanca de arquitetura de sistemas e suas interconexoes.Analise de documentacoes. REQUISITOS Formacao na area de TI Ciencia da Computacao ou Analise de Sistemas nos ultimos anos/semestres de formacao.Profissional com objetivo de seguir na area de desenvolvimento de sistema.Logica de programacao.Conhecer uma linguagem de programacao (preferencialmente Java javascript C#)Excel Intermediario.;6
